,product_category_name,review_id,review_score
13,cama_mesa_banho,8693,3.8470033360174853
11,beleza_saude,7866,4.144800406814137
32,esporte_lazer,6726,4.082218257508178
44,informatica_acessorios,6251,3.8958566629339306
54,moveis_decoracao,6191,3.8798255532224197
72,utilidades_domesticas,5344,4.037612275449102
66,relogios_presentes,5161,4.0003875217981015
8,automotivo,3457,4.071738501590975
70,telefonia,3448,3.9225638051044083
40,ferramentas_jardim,3353,4.017894422904861
12,brinquedos,3053,4.084507042253521
62,perfumaria,2593,4.150790590050135
26,cool_stuff,2559,4.0863618601016025
9,bebes,2477,3.979006863140896
30,eletronicos,2395,4.02964509394572
59,papelaria,2143,4.163322445170322
63,pet_shop,1514,4.182298546895641
33,fashion_bolsas_e_acessorios,1484,4.131401617250674
55,moveis_escritorio,1220,3.4155737704918034
21,construcao_ferramentas_construcao,899,4.0667408231368185
20,consoles_games,867,3.9757785467128026
50,malas_acessorios,729,4.266117969821673
28,eletrodomesticos,636,4.144654088050315
16,casa_construcao,563,3.9342806394316163
45,instrumentos_musicais,553,4.207956600361664
31,eletroportateis,491,4.10183299389002
1,alimentos,434,4.21889400921659
48,livros_interesse_geral,433,4.413394919168591
10,bebidas,364,4.054945054945055
57,moveis_sala,342,3.8362573099415203
23,construcao_ferramentas_iluminacao,294,4.0476190476190474
7,audio,289,3.8027681660899653
14,casa_conforto,286,3.8566433566433567
43,industria_comercio_e_negocios,251,4.095617529880478
49,livros_tecnicos,250,4.36
53,moveis_cozinha_area_de_servico_jantar_e_jardim,235,3.923404255319149
2,alimentos_bebidas,235,4.276595744680851
24,construcao_ferramentas_jardim,205,4.024390243902439
19,climatizacao,204,3.946078431372549
61,pcs,198,4.171717171717172
29,eletrodomesticos_2,197,4.16243654822335
0,agro_industria_e_comercio,194,4.015463917525773
25,construcao_ferramentas_seguranca,190,3.8684210526315788
3,artes,178,4.0
68,sinalizacao_e_seguranca,178,4.067415730337078
51,market_place,165,3.933333333333333
34,fashion_calcados,142,4.147887323943662
6,artigos_de_natal,140,4.0
71,telefonia_fixa,136,3.536764705882353
22,construcao_ferramentas_ferramentas,96,4.427083333333333
39,fashion_underwear_e_moda_praia,92,3.9239130434782608
56,moveis_quarto,80,4.0875
64,portateis_casa_forno_e_cafe,74,4.3108108108108105
38,fashion_roupa_masculina,71,3.676056338028169
18,cine_foto,68,4.147058823529412
47,livros_importados,55,4.490909090909091
69,tablets_impressao_imagem,42,4.023809523809524
5,artigos_de_festas,42,3.738095238095238
27,dvds_blu_ray,39,4.051282051282051
42,fraldas_higiene,38,3.210526315789474
52,moveis_colchao_e_estofado,32,3.875
41,flores,31,4.419354838709677
58,musica,28,4.25
36,fashion_roupa_feminina,25,3.88
4,artes_e_artesanato,22,4.045454545454546
15,casa_conforto_2,18,3.111111111111111
65,portateis_cozinha_e_preparadores_de_alimentos,15,3.2666666666666666
35,fashion_esporte,14,4.142857142857143
17,cds_dvds_musicais,6,5.0
37,fashion_roupa_infanto_juvenil,6,4.333333333333333
46,la_cuisine,6,3.5
60,pc_gamer,5,3.2
67,seguros_e_servicos,1,1.0
